Country Name,Year,Fertility_Rate
Afghanistan,2000,7.733
Afghanistan,2001,7.622999999999997
Afghanistan,2002,7.484
Afghanistan,2003,7.3210000000000015
Afghanistan,2004,7.136
Afghanistan,2005,6.93
Afghanistan,2006,6.702000000000001
Afghanistan,2007,6.456
Afghanistan,2008,6.1960000000000015
Afghanistan,2009,5.928
Afghanistan,2010,5.659
Albania,2000,2.383
Albania,2001,2.291
Albania,2002,2.195
Albania,2003,2.097
Albania,2004,2.004
Albania,2005,1.919
Albania,2006,1.849
Albania,2007,1.796
Albania,2008,1.761
Albania,2009,1.744
Albania,2010,1.741
Algeria,2000,2.514
Algeria,2001,2.439
Algeria,2002,2.407
Algeria,2003,2.412
Algeria,2004,2.448
Algeria,2005,2.507
Algeria,2006,2.58
Algeria,2007,2.656
Algeria,2008,2.725
Algeria,2009,2.781
Algeria,2010,2.817
American Samoa,2000,
American Samoa,2001,
American Samoa,2002,
American Samoa,2003,
American Samoa,2004,
American Samoa,2005,
American Samoa,2006,
American Samoa,2007,
American Samoa,2008,
American Samoa,2009,
American Samoa,2010,
Andorra,2000,
Andorra,2001,
Andorra,2002,
Andorra,2003,
Andorra,2004,
Andorra,2005,
Andorra,2006,1.24
Andorra,2007,1.18
Andorra,2008,1.25
Andorra,2009,1.19
Andorra,2010,1.22
Angola,2000,6.843999999999999
Angola,2001,6.811
Angola,2002,6.778
Angola,2003,6.742999999999999
Angola,2004,6.704
Angola,2005,6.657
Angola,2006,6.598
Angola,2007,6.523
Angola,2008,6.434
Angola,2009,6.331
Angola,2010,6.218
Antigua and Barbuda,2000,2.316
Antigua and Barbuda,2001,2.305
Antigua and Barbuda,2002,2.2880000000000003
Antigua and Barbuda,2003,2.268
Antigua and Barbuda,2004,2.246
Antigua and Barbuda,2005,2.224
Antigua and Barbuda,2006,2.2030000000000003
Antigua and Barbuda,2007,2.1830000000000003
Antigua and Barbuda,2008,2.164
Antigua and Barbuda,2009,2.146
Antigua and Barbuda,2010,2.13
Argentina,2000,2.477
Argentina,2001,2.424
Argentina,2002,2.379
Argentina,2003,2.34
Argentina,2004,2.31
Argentina,2005,2.286
Argentina,2006,2.268
Argentina,2007,2.254
Argentina,2008,2.241
Argentina,2009,2.228
Argentina,2010,2.215
Armenia,2000,1.6880000000000002
Armenia,2001,1.6840000000000002
Armenia,2002,1.692
Armenia,2003,1.704
Armenia,2004,1.715
Armenia,2005,1.724
Armenia,2006,1.7280000000000002
Armenia,2007,1.731
Armenia,2008,1.734
Armenia,2009,1.736
Armenia,2010,1.7380000000000002
Aruba,2000,1.874
Aruba,2001,1.848
Aruba,2002,1.825
Aruba,2003,1.805
Aruba,2004,1.786
Aruba,2005,1.769
Aruba,2006,1.754
Aruba,2007,1.739
Aruba,2008,1.726
Aruba,2009,1.713
Aruba,2010,1.7009999999999998
Australia,2000,1.756
Australia,2001,1.739
Australia,2002,1.756
Australia,2003,1.7480000000000002
Australia,2004,1.768
Australia,2005,1.807
Australia,2006,1.883
Australia,2007,1.931
Australia,2008,1.933
Australia,2009,1.857
Australia,2010,1.87
Austria,2000,1.36
Austria,2001,1.33
Austria,2002,1.39
Austria,2003,1.38
Austria,2004,1.42
Austria,2005,1.41
Austria,2006,1.41
Austria,2007,1.38
Austria,2008,1.41
Austria,2009,1.39
Austria,2010,1.44
Azerbaijan,2000,2.0
Azerbaijan,2001,1.8
Azerbaijan,2002,1.8
Azerbaijan,2003,1.9
Azerbaijan,2004,2.0540000000000003
Azerbaijan,2005,2.0
Azerbaijan,2006,1.97
Azerbaijan,2007,1.97
Azerbaijan,2008,1.9
Azerbaijan,2009,1.82
Azerbaijan,2010,1.92
"Bahamas, The",2000,2.071
"Bahamas, The",2001,1.989
"Bahamas, The",2002,1.924
"Bahamas, The",2003,1.88
"Bahamas, The",2004,1.857
"Bahamas, The",2005,1.853
"Bahamas, The",2006,1.862
"Bahamas, The",2007,1.876
"Bahamas, The",2008,1.889
"Bahamas, The",2009,1.898
"Bahamas, The",2010,1.901
Bahrain,2000,2.765
Bahrain,2001,2.718
Bahrain,2002,2.665
Bahrain,2003,2.602
Bahrain,2004,2.529
Bahrain,2005,2.449
Bahrain,2006,2.367
Bahrain,2007,2.292
Bahrain,2008,2.229
Bahrain,2009,2.1790000000000003
Bahrain,2010,2.142
Bangladesh,2000,3.12
Bangladesh,2001,3.011
Bangladesh,2002,2.905
Bangladesh,2003,2.802
Bangladesh,2004,2.702
Bangladesh,2005,2.607
Bangladesh,2006,2.52
Bangladesh,2007,2.443
Bangladesh,2008,2.377
Bangladesh,2009,2.322
Bangladesh,2010,2.277
Barbados,2000,1.768
Barbados,2001,1.78
Barbados,2002,1.791
Barbados,2003,1.801
Barbados,2004,1.81
Barbados,2005,1.817
Barbados,2006,1.822
Barbados,2007,1.827
Barbados,2008,1.831
Barbados,2009,1.835
Barbados,2010,1.839
Belarus,2000,1.31
Belarus,2001,1.27
Belarus,2002,1.22
Belarus,2003,1.21
Belarus,2004,1.2
Belarus,2005,1.21
Belarus,2006,1.287
Belarus,2007,1.37
Belarus,2008,1.42
Belarus,2009,1.42
Belarus,2010,1.44
Belgium,2000,1.67
Belgium,2001,1.663
Belgium,2002,1.66
Belgium,2003,1.66
Belgium,2004,1.72
Belgium,2005,1.76
Belgium,2006,1.8
Belgium,2007,1.82
Belgium,2008,1.86
Belgium,2009,1.84
Belgium,2010,1.84
Belize,2000,3.594
Belize,2001,3.4930000000000003
Belize,2002,3.395
Belize,2003,3.299
Belize,2004,3.208
Belize,2005,3.122
Belize,2006,3.043
Belize,2007,2.971
Belize,2008,2.907
Belize,2009,2.8510000000000004
Belize,2010,2.801
Benin,2000,5.975
Benin,2001,5.898
Benin,2002,5.818
Benin,2003,5.733
Benin,2004,5.645
Benin,2005,5.553
Benin,2006,5.459
Benin,2007,5.365
Benin,2008,5.273
Benin,2009,5.182
Benin,2010,5.095
Bermuda,2000,1.74
Bermuda,2001,
Bermuda,2002,
Bermuda,2003,
Bermuda,2004,
Bermuda,2005,1.7519999999999998
Bermuda,2006,1.754
Bermuda,2007,1.757
Bermuda,2008,1.759
Bermuda,2009,1.7619999999999998
Bermuda,2010,1.764
Bhutan,2000,3.608
Bhutan,2001,3.417
Bhutan,2002,3.237
Bhutan,2003,3.071
Bhutan,2004,2.923
Bhutan,2005,2.793
Bhutan,2006,2.682
Bhutan,2007,2.587
Bhutan,2008,2.506
Bhutan,2009,2.436
Bhutan,2010,2.375
Bolivia,2000,4.14
Bolivia,2001,4.062
Bolivia,2002,3.982
Bolivia,2003,3.897
Bolivia,2004,3.809
Bolivia,2005,3.72
Bolivia,2006,3.633
Bolivia,2007,3.551
Bolivia,2008,3.477
Bolivia,2009,3.4130000000000003
Bolivia,2010,3.357
Bosnia and Herzegovina,2000,1.381
Bosnia and Herzegovina,2001,1.325
Bosnia and Herzegovina,2002,1.275
Bosnia and Herzegovina,2003,1.236
Bosnia and Herzegovina,2004,1.21
Bosnia and Herzegovina,2005,1.199
Bosnia and Herzegovina,2006,1.199
Bosnia and Herzegovina,2007,1.207
Bosnia and Herzegovina,2008,1.218
Bosnia and Herzegovina,2009,1.23
Bosnia and Herzegovina,2010,1.242
Botswana,2000,3.4130000000000003
Botswana,2001,3.3160000000000003
Botswana,2002,3.227
Botswana,2003,3.148
Botswana,2004,3.079
Botswana,2005,3.017
Botswana,2006,2.962
Botswana,2007,2.91
Botswana,2008,2.86
Botswana,2009,2.8110000000000004
Botswana,2010,2.761
Brazil,2000,2.364
Brazil,2001,2.318
Brazil,2002,2.264
Brazil,2003,2.202
Brazil,2004,2.135
Brazil,2005,2.066
Brazil,2006,2.001
Brazil,2007,1.944
Brazil,2008,1.897
Brazil,2009,1.862
Brazil,2010,1.838
Brunei Darussalam,2000,2.401
Brunei Darussalam,2001,2.341
Brunei Darussalam,2002,2.292
Brunei Darussalam,2003,2.249
Brunei Darussalam,2004,2.211
Brunei Darussalam,2005,2.177
Brunei Darussalam,2006,2.147
Brunei Darussalam,2007,2.119
Brunei Darussalam,2008,2.095
Brunei Darussalam,2009,2.072
Brunei Darussalam,2010,2.051
Bulgaria,2000,1.26
Bulgaria,2001,1.21
Bulgaria,2002,1.21
Bulgaria,2003,1.23
Bulgaria,2004,1.29
Bulgaria,2005,1.32
Bulgaria,2006,1.38
Bulgaria,2007,1.42
Bulgaria,2008,1.48
Bulgaria,2009,1.57
Bulgaria,2010,1.49
Burkina Faso,2000,6.5920000000000005
Burkina Faso,2001,6.5310000000000015
Burkina Faso,2002,6.468
Burkina Faso,2003,6.403
Burkina Faso,2004,6.335
Burkina Faso,2005,6.265
Burkina Faso,2006,6.193
Burkina Faso,2007,6.1160000000000005
Burkina Faso,2008,6.037000000000001
Burkina Faso,2009,5.954
Burkina Faso,2010,5.869
Burundi,2000,7.057
Burundi,2001,7.0
Burundi,2002,6.939
Burundi,2003,6.8729999999999976
Burundi,2004,6.803
Burundi,2005,6.729
Burundi,2006,6.65
Burundi,2007,6.567
Burundi,2008,6.481
Burundi,2009,6.393
Burundi,2010,6.303999999999999
Cabo Verde,2000,3.701
Cabo Verde,2001,3.527
Cabo Verde,2002,3.357
Cabo Verde,2003,3.192
Cabo Verde,2004,3.037
Cabo Verde,2005,2.895
Cabo Verde,2006,2.77
Cabo Verde,2007,2.66
Cabo Verde,2008,2.567
Cabo Verde,2009,2.49
Cabo Verde,2010,2.427
Cambodia,2000,3.75
Cambodia,2001,3.619
Cambodia,2002,3.504
Cambodia,2003,3.401
Cambodia,2004,3.31
Cambodia,2005,3.23
Cambodia,2006,3.162
Cambodia,2007,3.102
Cambodia,2008,3.051
Cambodia,2009,3.007
Cambodia,2010,2.966
Cameroon,2000,5.621
Cameroon,2001,5.567
Cameroon,2002,5.515
Cameroon,2003,5.464
Cameroon,2004,5.412999999999999
Cameroon,2005,5.358
Cameroon,2006,5.299
Cameroon,2007,5.235
Cameroon,2008,5.167000000000002
Cameroon,2009,5.093999999999999
Cameroon,2010,5.017
Canada,2000,1.49
Canada,2001,1.505
Canada,2002,1.52
Canada,2003,1.53
Canada,2004,1.53
Canada,2005,1.54
Canada,2006,1.586
Canada,2007,1.659
Canada,2008,1.681
Canada,2009,1.668
Canada,2010,1.6269999999999998
Cayman Islands,2000,
Cayman Islands,2001,
Cayman Islands,2002,
Cayman Islands,2003,
Cayman Islands,2004,
Cayman Islands,2005,
Cayman Islands,2006,
Cayman Islands,2007,
Cayman Islands,2008,
Cayman Islands,2009,
Cayman Islands,2010,
Central African Republic,2000,5.4460000000000015
Central African Republic,2001,5.393
Central African Republic,2002,5.329
Central African Republic,2003,5.2570000000000014
Central African Republic,2004,5.176
Central African Republic,2005,5.089
Central African Republic,2006,4.997
Central African Republic,2007,4.9030000000000005
Central African Republic,2008,4.809
Central African Republic,2009,4.716
Central African Republic,2010,4.626
Chad,2000,7.354
Chad,2001,7.315
Chad,2002,7.268
Chad,2003,7.2120000000000015
Chad,2004,7.147
Chad,2005,7.074
Chad,2006,6.992000000000001
Chad,2007,6.902
Chad,2008,6.805
Chad,2009,6.702000000000001
Chad,2010,6.596
Channel Islands,2000,1.402
Channel Islands,2001,1.404
Channel Islands,2002,1.408
Channel Islands,2003,1.411
Channel Islands,2004,1.413
Channel Islands,2005,1.415
Channel Islands,2006,1.4169999999999998
Channel Islands,2007,1.42
Channel Islands,2008,1.4240000000000002
Channel Islands,2009,1.43
Channel Islands,2010,1.436
Chile,2000,2.087
Chile,2001,2.047
Chile,2002,2.014
Chile,2003,1.985
Chile,2004,1.96
Chile,2005,1.939
Chile,2006,1.92
Chile,2007,1.903
Chile,2008,1.888
Chile,2009,1.873
Chile,2010,1.858
China,2000,1.51
China,2001,1.514
China,2002,1.527
China,2003,1.546
China,2004,1.5659999999999998
China,2005,1.585
China,2006,1.602
China,2007,1.617
China,2008,1.63
China,2009,1.642
China,2010,1.65
Colombia,2000,2.64
Colombia,2001,2.603
Colombia,2002,2.57
Colombia,2003,2.542
Colombia,2004,2.518
Colombia,2005,2.496
Colombia,2006,2.475
Colombia,2007,2.454
Colombia,2008,2.43
Colombia,2009,2.405
Colombia,2010,2.376
Comoros,2000,5.315
Comoros,2001,5.313
Comoros,2002,5.303
Comoros,2003,5.283
Comoros,2004,5.254
Comoros,2005,5.216
Comoros,2006,5.167999999999998
Comoros,2007,5.112
Comoros,2008,5.051
Comoros,2009,4.9860000000000015
Comoros,2010,4.919
"Congo, Dem. Rep.",2000,7.089
"Congo, Dem. Rep.",2001,7.027
"Congo, Dem. Rep.",2002,6.96
"Congo, Dem. Rep.",2003,6.8870000000000005
"Congo, Dem. Rep.",2004,6.809
"Congo, Dem. Rep.",2005,6.728
"Congo, Dem. Rep.",2006,6.642
"Congo, Dem. Rep.",2007,6.55
"Congo, Dem. Rep.",2008,6.454
"Congo, Dem. Rep.",2009,6.354
"Congo, Dem. Rep.",2010,6.251
"Congo, Rep.",2000,5.134
"Congo, Rep.",2001,5.131
"Congo, Rep.",2002,5.127999999999999
"Congo, Rep.",2003,5.125
"Congo, Rep.",2004,5.122000000000001
"Congo, Rep.",2005,5.119
"Congo, Rep.",2006,5.114
"Congo, Rep.",2007,5.109
"Congo, Rep.",2008,5.101
"Congo, Rep.",2009,5.089
"Congo, Rep.",2010,5.072
Costa Rica,2000,2.414
Costa Rica,2001,2.345
Costa Rica,2002,2.275
Costa Rica,2003,2.204
Costa Rica,2004,2.134
Costa Rica,2005,2.067
Costa Rica,2006,2.006
Costa Rica,2007,1.953
Costa Rica,2008,1.909
Costa Rica,2009,1.874
Costa Rica,2010,1.847
Cote d'Ivoire,2000,5.375
Cote d'Ivoire,2001,5.289
Cote d'Ivoire,2002,5.207000000000002
Cote d'Ivoire,2003,5.13
Cote d'Ivoire,2004,5.06
Cote d'Ivoire,2005,5.0
Cote d'Ivoire,2006,4.956
Cote d'Ivoire,2007,4.928
Cote d'Ivoire,2008,4.913
Cote d'Ivoire,2009,4.909
Cote d'Ivoire,2010,4.91
Croatia,2000,1.39
Croatia,2001,1.38
Croatia,2002,1.34
Croatia,2003,1.33
Croatia,2004,1.35
Croatia,2005,1.41
Croatia,2006,1.38
Croatia,2007,1.4
Croatia,2008,1.47
Croatia,2009,1.5
Croatia,2010,1.46
Cuba,2000,1.626
Cuba,2001,1.626
Cuba,2002,1.621
Cuba,2003,1.61
Cuba,2004,1.592
Cuba,2005,1.57
Cuba,2006,1.545
Cuba,2007,1.52
Cuba,2008,1.4980000000000002
